title,rating,recommendation,date,position,department,location,pros,cons,suggestions,Arbeitsatmosphäre,Work-Life-Balance,Gehalt/Sozialleistungen,Kollegenzusammenhalt,Umgang mit älteren Kollegen,Vorgesetztenverhalten,Image,Karriere/Weiterbildung,Umwelt-/Sozialbewusstsein,Arbeitsbedingungen,Gleichberechtigung,Interessante Aufgaben,Kommunikation
Ein schrecklicher Arbeitgeber ! Ich habe in Frankfurt im IPZ am Flughafen gearbeitet paar Jahre.,,Nicht empfohlen,Oktober 2025,,,,Gehalt kommt Pünktlich,,,Angespannt die stehen mit der Peitsche hinter Einem,Mit Teilzeit fünf Tage Woche im Frühdienst und Nachts 4 Tage aber das fühlt sich wie 5 an,Schlecht! Ist halt Teilzeit und Überstunden werden nicht bezahlt,Ja müssen die sonst werden sie gefressen,Werden wie 20 jährige behandelt und es wird die selbe Leistung erwartet,Unmenschlich,,,,,,,
Nicht zufrieden,,Nicht empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,Er ist nett und freundlich und hilfsbereit,Das er einem keine Chance gibt sich richtig zu beweisen,Jemanden mehr zutrauen,,,,,,,,,,,,,
Wenn ich was besseres finde bin ich weg,,Nicht empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,Sie zahlen pünktlich,Der Arbeitgeber behandelt das Personal wie wegwerfware,Seine Personalpolitik überarbeiten,,,,,,,,,,,,,
Wir suchen die besten Arbeitgeber,,,,,,,,,,,,,,,,,,,,,,
2000,,Empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,,,,Gut,,,,,,,,,,,,
Sehr positiver Bewerbungsprozess,,Empfohlen,Oktober 2025,,,,> Ich finde die Professionalität und Freundlichkeit des Teams sehr gut.,Ich habe keinen negativen Eindruck. Alles war sehr gut organisiert.,> Ich hatte keine Verbesserungsvorschläge. Alles war sehr gut organisiert.,"Alles war super, vielen Dank für die freundliche Kommunikation!",Die Work-Life-Balance scheint ausgewogen und fair zu sein.,Gehalt und Sozialleistungen wirken fair und angemessen.,> Der Zusammenhalt scheint sehr gut zu sein.,Der Umgang mit älteren Kollegen scheint respektvoll und fair zu sein.,Das Verhalten der Vorgesetzten war professionell und respektvoll.,Das Unternehmensimage ist sehr positiv und professionell.,Karriere- und Weiterbildungsmöglichkeiten scheinen gut organisiert und förderlich zu sein.,Das Umwelt- und Sozialbewusstsein des Unternehmens scheint sehr gut ausgeprägt zu sein.,Die Arbeitsbedingungen wirken professionell und angenehm.,Gleichberechtigung wird offensichtlich ernst genommen.,Die Aufgaben wirken interessant und abwechslungsreich.,
"Zustellung Köln ZSP Brühl - Falsche Einsatzpläne, Standortleitung überfordert, hohe Fluktuation",,Nicht empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,Paar gute Kollegen gibt es,"Jeder darf anscheinend ausbilden, auch wenn die menschlich Totalausfälle sind und Leute deswegen gehen, Standortleiter macht Pläne ohne Sinn und Verstand, flexen nach Feiertagen, bei der Post ist alles möglich und Jeder wird genommen","Standortleitung ersetzen , Ausbilder einsetzen die was taugen, neue Leute motivieren und nicht verheizen",,,,,,Da werden Leute hingesetzt die nicht in der Lage sind eine Woche lang einen korrekten Einsatzplan zu erstellen,,,,,,,
Ich bin sehr zufrieden mit meinem Arbeitgeber. Die Arbeit macht Spaß und das Arbeitsklima ist hervorragend,,Empfohlen,Oktober 2025,,,,Ich bin sehr zufrieden mit meinem Arbeitgeber. Die Arbeit macht Spaß und das Arbeitsklima ist hervorragend,Ich bin sehr zufrieden mit meinem Arbeitgeber. Die Arbeit macht Spaß und das Arbeitsklima ist hervorragend,,,,,,,,,,,,,,
perfekte Zusammenarbeit,,Empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,die einwandfreie Kommunikation und sofortige Beantwortung aller meiner Fragen und sein perfektes Verhalten.,Nichts,besserer Service im Callcenter,,,,,,,,,,,,,
"Sehr freundlich, sehr nette Personal, sehr hilfsbereit,",,Empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,"Sehr ordentlich und freundlich, seriös und kompetent",nicht,"Die Arbeitgeber ist bestes von ganzem Welt, seriös und sicher",Sehr gut,Superrrr,Sehr gut,"Sehr freundlich, sehr ordentlich",Sehr freundlich,Sehr freundlich,Gut,Sehr gut,Sehr gut,Sehr ordentlich und seriös,Gut,Sehr ordentlich,Sehr freundlich
"Schlechteste Arbeitgeber, den ich je erlebt habe",,Nicht empfohlen,Oktober 2025,,,,Nichts,Dass die Belastung einfach zu hoch ist durch den ganzen Paket Konum egal in welchem Bereich,"Bewerbungsgespräche führen, bevor man irgendwen einstellt und nur Leute in die Führungsposition setzen, die es auch hinbekommen",Keine Reinigung der Standortes,Ich stehe kurz vor dem Burn out,"Nicht mal ein Bewerbungsgespräch gehabt, wo man Sachen absprechen konnte","Kollegen machen, was sie wollen",,Chef ist gar nicht erreichbar,,,Viel zu viele Pakete,Viel zu viel Belastung,,,Chef kümmert sich um nichts
Wie ist Deutsche Post & DHL als Arbeitgeber bewertet?,,,,,,,,,,,,,,,,,,,,,,
Jeder zweite Chef,,Nicht empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,"Er zahlt pünktlich, das ist der einzige Pluspunkt.","Es ist eine sehr hohe Arbeitsbelastung. Zuvor habe ich lange bei einem anderen Unternehmen gearbeitet, das ebenfalls Lieferdienste anbot. Dort war der Zeitplan nicht so voll. Von der ersten Woche an wurde von mir verlangt, dass ich gleichberechtigt mit meinen langjährigen Kollegen zusammenarbeite.",,"Da ich neu bin und wahrscheinlich einige Fehler mache, überfordern sich manche Kollegen und sprechen mit erhobener Stimme, anstatt alles ruhig zu erklären.",,"Auf dem Papier ist das Gehalt gut, aber Überstunden sind nicht erlaubt. Man sagt einem sofort, dass man acht Stunden am Tag arbeiten muss, unabhängig von der Arbeitsbelastung. Wenn man sagt, dass man neu ist, wird einem gesagt, dass man alles mitmachen muss, unabhängig von der Arbeitsbelastung, sonst wird man gefeuert.",,,,,,,,,,
Sehr schlechte GF,,Nicht empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,,Gf ist überheblich und planlos,,,,,,,,,,,,,,
Sehr freundlich und nett,,Empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,Das man über alles reden kann,Nichts,Erstmal keine,,,,,,,,,,,,,
Wir suchen die besten Arbeitgeber,,,,,,,,,,,,,,,,,,,,,,
Es ist sehr vielseitig und man kann seine Arbeit in aller ruhe und Gewissenhaft schaffen bin sehr positiv überzeugt,,Empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,"Das was mir gefällt sind die klaren Anweisungen meines Arbeitgebers , sowie information und auch möglichkeiten sich weiterbilden zu können .Klare Aufgabenverteilung und Strukturietes Arbeitsklima .",ich kann nichts schlechtes sagen,"Klar kann man immer etwas verbessern in Sachen z.b. Fahrzeugpflege ,Einarbeitungszeiten , Weiterbildungmöglichkeiten , Arbeitsmaterialien sowie Schutzausrüstung .",,,,,,,,,,,,,
Nicht zu empfehlen,,Nicht empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,,,,,,,,,,,Ist man krankgeschrieben durch ein z.b Unfall wird man gekündigt und ersetzt,,,,,
Nie wieder,,Nicht empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,Nichts,Alles,Besser auf die Angestellten achten,,,,,,,,,,,,,
Der Bewerbungsprozess als Abrufkraft als Zusteller hat mich zufrieden gestellt und mir sehr gut gefallen.,,Empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,Dass auch älteren Arbeitnehmern eine Chance gegeben wird.,,,,,,,,,,,,,,,
Everything is good. Regarding job and co workers are very friendly.,,Empfohlen,Oktober 2025,Angestellte/r oder Arbeiter/in,,,Flexible working hours,,Everything is good,,,,,,,,,,,,,
Meine Erfahrung waren bis jetzt sehr gut .,,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,"In den Betrieb ist die Vielfalt an Menschen groß, dass find ich gut.",Nichts.,Anbieten den Führerschein zu übernehmen.,,,,,,,,,,,,,
„Sehr guter Bewerbungsprozess“,,Empfohlen,September 2025,,,,,,,„Ich bin mit dem Bewerbungsprozess sehr zufrieden. Alles war gut organisiert.“,,,,,,,,,,,,
"Sehr einfaches Bewerbungsverfahren, alle freundlich und man weis sofort ob man eine Chance hat oder nicht! Top !",,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,Dass der Mitarbeiter wertgeschätzt wird!Sehr professionell und strukturiertes Bewerbungsverfahren!,,,Sehr lockere aber professionelle Atmosphäre,Gewerkschaft,Branchenprimus!,Alle hilfsbereit und nett.,Wertschätzung,"Man merkt, dass die Vorgesetzten sehr gut ausgebildet sind in Menschenführung. Top !",Weltweit bekannt und geachtet!,Nach oben keine Grenzen,,Branchenprimus!,,Durch das Post Monopol hat man einzigartige Aufgaben.,Man bekommt alle wichtigen Daten direkt per Mail!
job magdeburg 2024,,Empfohlen,September 2025,,,,Bemühen um eine Lösung,,mehr Verständnis für Ausländer zu haben.,,,,,,,,,,,,,
Zum dritten Mal beworben.,,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,Nette Kollegen direkt wohl gefühlt,Das Gehalt zur in Inflationsrate,In Euskirchen habe ich mich 2 mal beworben ohne Grund abgelehnt in Blankenheim wo ich die Stelle haben wollte hab ich sie direkt bekommen wie kann das sein ?,,,,,,,,,,,,,
Wir suchen die besten Arbeitgeber,,,,,,,,,,,,,,,,,,,,,,
Sehr schlecht,,Nicht empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,Nichts,"Sie gibt keine Cent auf dich,Hauptsache immer mehr Umsatz für die Führung ind Bonus .Sie bevorzugen neue Kraft und die erfahrene sind raus geworfen",Wird immer und immer mehr verlangt,Überlastung,,,,,,,,,,,,Du zählst nichts
Perfekt Klasse,,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,Sehr Ordentlich und sehr höflich und eine sehr kompetente Arbeitgeber mit sehr Mitgefühl am Arbeitsplatz wie mit Mitarbeitern sowie mit Kunden,Nichts,Nichts anderes so ist Korrekt und Stabil,,Perfekt,Super,Super,Einfach Klasse,Korrekt und Perfekt,Super,,5 Sterne,Sehr Schön und sehr Ordentlich,Korrekt,Liefern und sehr viel Kontakt mit anderen Menschen Klasse,
unfähige Geschäftsführung,,Nicht empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,"direkte Vorgesetzte, Teamleiter / - in, Abteilungsleiter im Standort Hamburg (inzwischen geschlossen)","Führugskräfte Bonn, mangelnde Kommunikation, sich selbstlobend ohne was zu tun, Lügen besonders CEO",,,,,,,,,,,,,,
Schlechter Arbeit geber,,Nicht empfohlen,September 2025,,,,Sehr schlecht,Man ruft an und wird gesagt rufe dich zurück und nichts passiert,Wenn Man sagt bist ein gestellt und rufe dich an dann sollte man es auch tun,Kein Anruf wird gesagt rufe zurück aber nichts,,,,,,,,,,,,
eine sehr gute Meinung über den Arbeitgeber.,,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,Mit dem Arbeitgeber ist alles sehr gut,Alles ist sehr gutArbeitgeber und sehr seriös.,"Alles ist perfekt, so wie es in der Firma ist.",,,,,,,,,,,,,
Sehr zuverlässig & zufriedenstellend,,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,Die Fairness & die Zuverlässigkeit,,,,,,,,,,,,,,,
ZSP Unna,,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,Ich liebe den Job einfach,Bisher nichts negatives,Mehr Koordination und bessere Planung,,,,,,,,,,,,,
Der Arbeitsplatz ist ganz interessant. Die Mitarbeiter sind auch sympathisch und soziale. Es freut mich gerne mit Ihnen.,,Empfohlen,September 2025,,,,Sympatisch,Nichts jetzt,Nichts jetzt. Vielleicht später,,,,,,,,,,,,,
"Einfache Kommunikation, wissenschaftliche und praktische Unterstützung und ein freundliches Arbeitssystem mit Kollegen.",,Empfohlen,September 2025,,,,Einfache Kommunikation und praktische und wissenschaftliche Unterstützung,.,.,,,,,,,,,,,,Sehr güt,
Ich finde den Job zwar etwas schwierig aber ist in Ordnung,,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,Das ich meine Pausen selbst entscheiden kann,An manchen Tagen gibt es viel zu viel Post,Bisschen weniger Post bzw die Bezirke etwas kleiner gestalten und etwas mehr Gehalt wäre auch gut :),,,,,,,,,,,,,
Wir suchen die besten Arbeitgeber,,,,,,,,,,,,,,,,,,,,,,
Ich bin sehr zufrieden mit dem Arbeitgeber und möchte gerne länger bei der Firma bleiben.,,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,Ich finde dass der Arbeitgeber Fahrzeuge zu Verfügung stellt damit wir nicht laufen müssen und anderen Sachen die dazu gehören.,Dazu habe ich momentan nicht zu sagen.,"Ich haben viele zu diesem Thema zu sagen aber, ich werde die Situation noch beobachten können um mich konkret zu äußern.",Ich bin sehr zufrieden mit der Atmosphäre mit den Kollegen.,Gut aber es muss noch daran arbeiten.,"Ich finde , dass ich meine Meinung dazu äußern wenn ich meine erstes Gehalt bekommen und die Situation genauer einschätzen kann.",Die kollegialisch in Taem ist sehr gut würde ich sagen.,Super! Kein Zeichen von diskriminierung oder andere forme von ähnliche Situationen.,"Sehr, sehr gut ,immer bereit für dich zu helfen wenn es geht.",Positiv,Ohne Kommentar dazu jetzt bitte,"Super, die Arbeit fahrzeuge sind Umweltsfreundliche.",Gut aber bedarf Konzentration bis am ende der Arbeitszeit,Sehr positif Meinung nach.,Sehr zufrieden,Due Kommunikation ist gut aber bedarf noch mehr Arbeit.
Frechen,,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,Sehr respektvoll,,,,Super,,Super,respektiert,Super,,,Super,Super,Super,,Alles ist super
Nie wieder,,Nicht empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,Das Gehalt,"Immer befristete Verträge, man weiß im Grunde nie ob man verlängert wird oder nicht. Wenn man da nicht hinterher rennt, kriegt man 3-5 Tage vorher Bescheid ob man verlängert wird oder nicht.","Alles, einmal alles abreisen und neu machen.",,,Gehalt ist gut,,,,,Gibt's nicht,"Mit Strom fahren, aber Tonnen an Werbung und Dialog Post wegwerfen, scheinheilig ohne Ende.",,,,
Gute Erfahrung als Kurier bei DHL,,Empfohlen,September 2025,,,,"Das Arbeitsumfeld ist angenehm, die Kollegen sind hilfsbereit und die Arbeit abwechslungsreich.",Es könnte mehr Schulungen für neue Mitarbeiter geben,„Mehr Schulungen für neue Mitarbeiter wären hilfreich.,,,,,,,,,,,,,
Wird immer schlimmer.,,Nicht empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,Das Gehalt wird immer pünktlich überwiesen.,"Alle Abteilungen arbeiten gegeneinander. Es kommen immer andere Aussagen und Anweisungen von verschiedenen Personen, die selbst so gut wie keine Zusteller waren und sich mit Aussagen anderer Kollegen beißen, sodass man gefühlt kaum etwas richtig machen kann.",Endlich wieder Menschlich denken und die Zusteller nicht mit immer mehr und mehr Arbeit zuschütten.,,,,,,,,,,,,,
I am satisfied with this employer.,,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,okay,the accommodation is far from the workplace,everything is good,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay,okay
"Ein gutes Meeting und ein seriöses Unternehmen mit vielen Aufgaben und Verantwortungen, das ein gutes Gehalt verdient.",,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,"sieht gut aus und spricht gut, manchmal zu schnell und unverständlich",Mangel an Vertrauen und Freundschaft,"kurze, präzise und klare Rede",,,,,,,,,,,,,
Wenn sie sich mal Mental richtig brechen lassen wollen sind sie hier genau richtig.,,Nicht empfohlen,September 2025,,,,Den Feierabend,"Jedem sollte vor Antritt bewusst werden, das man schneller als einem Lieb ist, hier ganz schnell und ganz übel unter die Räder kommen kann.",Da gab und gibt es einiges. Es wird nur nicht umgesetzt. Get Woke or get broke.,Wer auf Hasenkastenbüros steht wird hier sein Eldorado finden. Es wird eine Atmosphäre aus Angst und Leistungsdruck geschürt.,Als Führungskraft besser möglich gegenüber dem gewöhnlichen Mitarbeiter. Den kann man quetschen bis die Kerne Quietschen.,Der allgemeine Zeitarbeiter hat da mehr von. Jegliche Qualifikation können sie sich schenken. Die wird nicht gebraucht.,Solange es den eigenen Interessen dient gibt es auch Zusammenhalt.,Ja mit denen wird auch umgegangen.,Bis auf ein zwei Ausnahmen eher ein Sprungbrett Richtung Zentrale.Jeder ist sich selbst der nächste. Je weiter weg man von der Logistik kommt umso besser.,Nach außen wird ein familiäres Klima vermittelt. Jedoch zieht seine Nummer zu Beginn. Unter dem Banner des Regenbogens ist das Credo.,Auf Aus- bzw. Weiterbildungen wird nicht geachtet.,Je mehr Papier verballert wird umso besser. GoGreen,"Fehlende Zugänge, Einweisungen etc. sind absoluter Standard. Passend zu der fehlenden Bürofläche gibt es einmal die wenigstens Obst damit man das Hamsterrad nicht so hart spürt in welchen man sich bewegt.",Manche sind halt gleicher als gleich. Ohne den nötigen Background hat man schon den grossen Nachteil.,Auf dem Papier gibt es total spannende Sachen. Die jedoch selten zu Ende gedacht sind.,Der Buschfunk funktioniert Prima. Einseitige Konfliktlösungen sind der Standard. Koste es was wolle.
Einstellungsprozess Deutsche Post Dortmund,,Empfohlen,September 2025,,,,Nicht kompliziert. Alle Mitarbeiter waren sehr freundlich und hilfsbereit.,,,,,,,,,,,,,,,
Ich warte auf antwart,,Empfohlen,September 2025,,,,Noch nicht,Nicht gemaldet,Wahrend dir regen nur paket zurgestelt werden,,,,,,,,,,,,,
Wir suchen die besten Arbeitgeber,,,,,,,,,,,,,,,,,,,,,,
2/10,,Nicht empfohlen,September 2025,,,,,"Die Personel Ableitung, ist sehr unfreundlich und kümmert sich nur wenn sie bockt hat, Wie der Fall bei mir war leider so das sie kein bock hätte.",,,,,,,,,,,,,,
Keine Abfindung für die Arbeiter,,Empfohlen,September 2025,Keine Abfindung für die Arbeiter,,,Weihnachtsgeld wird gezahlt.Qualitative Arbeitskleidung.Gesittete Umgangsformen auf allen Ebenen.Firmenrente.,"Vereinzelte Überlastung der Mitarbeiter. Bedeutet:Überbleibsel vom Vortag und neue Sendungen darf man ""oft"" alleine wegbringen.","Langjährige Briefträger mit einem Festvertrag sollten eine Abfindung erhalten, wenn sie den Konzern verlassen sollen.Das passiert aber so nicht.Lieber den Führungskräften, mit gefüllten Taschen, einen Abschiedsobolus darreichen?Moderne Unternehmerkultur sieht anders aus.Bitte nachbessern!",Gut. Doch bei Schlechtwetter geht die Laune in den Bach.,,,,,,,Bleib wie (wo) du bist.,,,,,
Gutes und Schlechtes trotz kurzer Testphase,,Nicht empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,Startchancen auch für QuereinsteigerProfessionelle ArbeitskleidungFür manchen Bewerber Gehalt ok,"zu schnelle Erfolgserwartung , die ungenormt und alleine auf der subjektiven ""Erfahrung"" eines Einarbeitungskollegen beruhen und einen , selbst nach Eigendarstellung in den Arbeitsunterlagen, viel zu kurzen Zeitraum betrachtenstatt 10/14 Tage für 1.Teil hier z.B. 5 Tage PraxisBeendigung des Arbeitsverhältnisses erfolgt nach Einschätzung des Unternehmens praktiziert ohne Einhaltung gesetzl. Vorschriften formal und ohne Frist (z.B. Beachtung 2-wöchig innerhalb Probezeit) von heute auf morgen","Fahrzeuge technischHandyscanner Oberfläche/Bedienunggemischte Zustellung unterm Strich keine Verbesserung , erst recht nicht für den Zustellerund ganz wichtig : Einarbeitung insbesondere für Quereinsteiger in der Praxiss o umsetzen, wie es in der eigenen Lernfibel propagiert wird.GGF. Einarbeitung für erste Schritte doch nicht mit gestressten Kollegen im Zielbezirk",Bewerbungsprozess und Vorbereitung als Quereinsteiger Zustellung sehr gut. Arbeitskleidung und Freundlichkeit gut. Bei Antritt als Neuling kippt der Eindruck durch Kombination von Arbeitsvolumen und mangelnder Professionalität Einarbeitung am Einsatzstandort,"Volumen für Zustellung nach Zufallsprinzip zwischen a) machbar wenn Routine und Technik inkl. Fahrzeug nicht zicken und z) unmachbar selbst bei ""Pausenverzicht""","für Branche angemessenes Grundgehalt zzgl. Altersvorsorge, Weihnachtsgeld, Urlaubszahlungim Verhältnis zu Arbeitsleistung und Stress eher schlechter","Stimmung und Ton zwischen vordergründig freundlich neutral bis hinterm Rücken Lästern über z.B. Zustellungs-Abbrecher , weil Volumen nicht geschafft","schwer zu beurteilen aufgrund Kürze des ""Arbeitsverhältnisses""","im Standort semiprofessionell technisch und theoretisch , wenn auch bemüht um freundliches und verständnisvolles Auftreten",Auftritt und Image in Öffentlichkeit besser als Wettbewerber,,e-Mobilität gut,"gut: Kleidung, feste Arbeitszeitenschlecht: e-scooter KFZ Fahrzeugtechnik sperrig , Starten, Automatik, Türöffnung Beladung, Transportsicherung nein,...Scanner kann viel ist aber verschachelt in Bedienoberfläche und sehr sensibel auf Berührung daher oft im falschen Menü bzw. ver-scrolltam schlimmsten:Sendungsvolumen nach Anfall ungepuffert auf Bezirke unsortiert aufgeteilt,entweder Glück oder Pech mit Menge, wird vom Zusteller selbst sortiert, geordnet, vorbearbeitet, eingeladen, verteilt, ggf. Packstation und weitere übriggebliebene Sendungen nachbearbeitet zusammen mit Zustellungsvermerken","schwer zu beurteilen aufgrund Kürze des ""Arbeitsverhältnisses""","eher nein, muss man speziell mögen, ... tatsächlich aber Abwechslung Bewegung und Sitzen und frische Luft ...sowie verschiedene Arten der Sendungsarten (Paket, Brief, Einschreiben,..)","Zuerst gut...bis es los geht... und wenn Du nach 2 Tagen nicht den Bezirk und idealerweise alle Vorgänge inkl. Technik bereits aus dem FF beherrschst gibt es ...Stress . Zuerst ist der einarbeitende Kollege gestresst, der den Wagen leer bekommen möchte . Dann überträgt sich die Stimmung auf den Neuling. Dann bekommt der Neuling motivierende Ansagen wie schneller, anders, ohne Anschnallen, schneller Fahren , schneller ""Laufen"" (wirklich Laufen !), Pause geht nicht, mehr Pakete inkl. Briefen gleichzeitig auf den Arm nehmnen etc. Liste wird zu lang"
Gute Arbeit aber Organisation Katastrophal. Es werden viel zu viele Pakete eingeteilt und am Ende bleiben hunderte übrig,,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,,,,,Man arbeitet Samstags und oft muss man länger machen,,,,,,,,,,,
alles auf meinem Weg zum Start war super professionell danke,,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,,,A,,,Super,,Super,,Super,Super,Super,Super,Super,,
Einmal und NIE wieder!!!,,Nicht empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,Die kameradschaft im Stützpunkt,Eigentlich von Anfang an ein falsches Tätigsbild,,,,Vermeintlich gute Stundenlohn ( 50% vom Weihnachtsgeld ist im Stundenlohn verrechnet!),,,"Nur im Stützpunkt, ansonsten einfach nur Kontrolle, auch durch technische Hilfsmittel ( z. B. ablesen der Motorsteuerung,…)",,,,Durch ständige „ unsichtbare“ Kontrolle,,,
Postbote,,Empfohlen,September 2025,Angestellte/r oder Arbeiter/in,,,,,"Das Packstationen überdacht werden könnten. Wetterverhältnisse, zum Beispiel bei zu viel Sonnenlicht sieht man das Display nicht. Auch als Kunde nur sehr schwer .",,,,,,,,,,,,,
